temperature,rpm,pressure,vibration,operating_hours,failure,hdf,osf,twf,pwf,rnf,failure_type
73.8,1551,26.8,0.21,101,0,0,0,0,0,0,Normal
73.0,1408,27.9,0.21,204,0,0,0,0,0,0,Normal
73.9,1498,28.2,0.17,266,0,0,0,0,0,0,Normal
75.4,1433,27.0,0.23,340,0,0,0,0,0,0,Normal
73.0,1408,28.2,0.15,422,0,0,0,0,0,0,Normal
72.8,1425,26.6,0.18,443,0,0,0,0,0,0,Normal
75.6,1558,28.4,0.13,407,0,0,0,0,0,0,Normal
74.4,1527,26.2,0.27,485,0,0,0,0,0,0,Normal
72.7,1667,23.9,0.2,545,0,0,0,0,0,0,Normal
74.8,1741,25.5,0.3,585,0,0,0,0,0,0,Normal
73.2,1782,24.8,0.25,642,0,0,0,0,0,0,Normal
73.6,1423,28.6,0.24,664,0,0,0,0,0,0,Normal
74.7,1339,27.8,0.2,787,0,0,0,0,0,0,Normal
71.7,1742,24.6,0.18,882,0,0,0,0,0,0,Normal
72.0,2035,23.9,0.24,804,0,0,0,0,0,0,Normal
73.8,1542,28.6,0.22,1029,0,0,0,0,0,0,Normal
73.1,1311,27.2,0.17,966,0,0,0,0,0,0,Normal
75.2,1410,28.5,0.17,1126,0,0,0,0,0,0,Normal
73.4,1306,29.0,0.19,1179,0,0,0,0,0,0,Normal
72.9,1632,27.3,0.31,1216,0,0,0,0,0,0,Normal
77.2,1375,29.0,0.32,1350,0,0,0,0,0,0,Normal
74.8,1450,28.5,0.25,1432,0,0,0,0,0,0,Normal
75.2,1581,26.5,0.24,1418,0,0,0,0,0,0,Normal
73.2,1758,24.3,0.23,1469,0,0,0,0,0,0,Normal
74.6,1561,27.2,0.2,1583,0,0,0,0,0,0,Normal
75.8,1861,25.2,0.3,1597,0,0,0,0,0,0,Normal
73.9,1512,27.0,0.32,1675,0,0,0,0,0,0,Normal
76.0,1811,23.7,0.21,1541,0,0,0,0,0,0,Normal
74.6,1439,26.1,0.25,1761,0,0,0,0,0,0,Normal
75.1,1693,25.0,0.23,1715,0,0,0,0,0,0,Normal
74.9,1339,29.4,0.23,1830,0,0,0,0,0,0,Normal
78.4,1798,25.1,0.3,1924,0,0,0,0,0,0,Normal
75.6,1419,29.1,0.2,2013,0,0,0,0,0,0,Normal
73.9,1665,25.0,0.27,1918,0,0,0,0,0,0,Normal
76.4,1559,24.0,0.29,1976,0,0,0,0,0,0,Normal
73.6,1452,28.1,0.25,2055,0,0,0,0,0,0,Normal
75.8,1581,26.0,0.3,2067,0,0,0,0,0,0,Normal
72.4,1439,26.5,0.27,2222,0,0,0,0,0,0,Normal
73.5,1379,29.6,0.31,2208,0,0,0,0,0,0,Normal
75.7,1350,31.4,0.2,2312,0,0,0,0,0,0,Normal
76.6,1362,28.1,0.25,2375,0,0,0,0,0,0,Normal
75.7,1368,28.8,0.27,2378,0,0,0,0,0,0,Normal
75.3,1368,28.5,0.16,2379,0,0,0,0,0,0,Normal
75.3,1372,28.7,0.23,2474,0,0,0,0,0,0,Normal
73.4,1472,27.6,0.24,2529,0,0,0,0,0,0,Normal
74.6,1489,28.8,0.31,2634,0,0,0,0,0,0,Normal
74.8,1843,24.7,0.25,2716,0,0,0,0,0,0,Normal
77.3,1418,28.4,0.25,2665,0,0,0,0,0,0,Normal
76.5,1425,30.1,0.31,2685,0,0,0,0,0,0,Normal
73.4,1412,28.2,0.22,2859,0,0,0,0,0,0,Normal
76.4,2861,18.4,0.2,2875,1,0,0,0,1,0,Power Failure
75.3,1383,30.5,0.27,2953,0,0,0,0,0,0,Normal
74.7,1497,27.0,0.23,3005,0,0,0,0,0,0,Normal
76.7,1565,24.9,0.23,2977,0,0,0,0,0,0,Normal
77.4,1691,24.0,0.31,3156,0,0,0,0,0,0,Normal
77.5,1512,27.5,0.33,3101,0,0,0,0,0,0,Normal
74.8,1477,27.2,0.33,3197,0,0,0,0,0,0,Normal
75.7,1513,25.3,0.34,3203,0,0,0,0,0,0,Normal
76.5,1661,25.4,0.35,3246,0,0,0,0,0,0,Normal
77.6,1378,28.3,0.21,3415,0,0,0,0,0,0,Normal
75.5,1393,29.5,0.32,3384,0,0,0,0,0,0,Normal
75.8,1592,26.9,0.28,3452,0,0,0,0,0,0,Normal
74.5,1829,24.6,0.27,3471,0,0,0,0,0,0,Normal
74.3,1812,26.0,0.33,3532,0,0,0,0,0,0,Normal
